"sector_id","date","level_detail_numeric","altitude","aspect","aspectActive"
1226,2023-01-17,3,1800,0,1
1111,2022-12-13,2.33,1800,0,1
1243,2023-01-25,2,2000,0,1
1244,2023-01-25,2,2000,0,1
4244,2022-12-25,3,2200,0,1
4242,2022-12-24,3.33,2200,0,1
4231,2023-01-13,3,2200,0,1
5113,2022-12-27,3,2400,0,1
5212,2023-02-07,2.67,1800,0,1
5121,2022-12-25,3,2200,0,1
5122,2022-12-25,3,2200,0,1
5211,2023-01-10,3.33,2000,0,1
1241,2023-03-31,2.67,NA,0,1
5122,2022-12-24,3,2200,0,1
5216,2023-01-10,3,2000,0,1
4242,2023-01-22,2.67,2400,0,1
4224,2023-05-12,2.33,2400,0,1
5215,2023-02-07,2.67,1800,0,1
3224,2023-01-24,2,2000,0,1
5216,2023-01-11,2.67,2200,0,1
4231,2023-01-14,2.67,2200,0,1
5113,2023-04-26,2.33,2400,0,1
6111,2023-01-10,3,2000,0,1
2211,2022-12-12,2,2200,0,1
5216,2023-01-13,2.67,2400,0,1
4116,2023-01-24,2.33,2000,0,1
1246,2022-12-13,2.33,1800,0,1
4244,2023-01-14,2.67,2200,0,1
4123,2023-01-24,2.33,2000,0,1
4221,2023-01-15,2.67,2200,0,1
2223,2023-02-03,2,2000,0,1
4224,2023-01-15,2.67,2400,0,1
7112,2023-01-10,3,2000,0,1
7221,2023-01-09,3,2000,0,1
5113,2023-02-06,3,1800,0,1
7113,2023-05-17,2.67,3000,0,1
5214,2023-01-14,2.67,2400,0,1
5222,2022-12-18,2.33,2200,0,1
3112,2023-01-26,2,2200,0,1
2212,2022-12-13,2.33,1800,0,1
5222,2023-01-14,2.67,2400,0,1
6211,2023-01-30,2,2200,0,1
7121,2023-02-07,3,2000,0,1
6111,2023-05-12,2.33,2400,0,1
4124,2023-01-25,2.33,2200,0,1
4114,2023-01-17,3.33,1800,0,1
5234,2023-01-14,2.67,2400,0,1
4116,2023-01-17,2.67,2200,0,1
4213,2023-01-25,2,2000,0,1
4242,2023-02-10,2.33,2200,0,1
4215,2023-01-25,2,2000,0,1
4244,2023-02-10,2.33,2200,0,1
4222,2023-01-25,2.33,2200,0,1
4223,2023-01-25,2.33,2200,0,1
1242,2023-01-09,3,2000,0,1
3311,2023-04-02,3,2000,0,1
5122,2023-01-16,2.67,2200,0,1
1246,2023-01-09,3,2000,0,1
4222,2023-01-17,2.67,2200,0,1
1247,2023-01-09,3,2000,0,1
4224,2023-01-17,2.67,2200,0,1
5216,2023-02-10,2.33,2200,0,1
5111,2023-01-25,2.33,2200,0,1
1222,2023-05-16,2,2600,0,1
5222,2023-02-10,2.33,2200,0,1
4124,2023-04-02,3.33,2200,0,1
3113,2022-12-15,2.33,2000,0,1
1247,2023-01-10,3.33,2000,0,1
4211,2023-02-04,2,2000,0,1
4222,2023-05-02,3.33,NA,0,1
5112,2023-01-17,2.67,2200,0,1
4215,2023-04-02,3.33,2200,0,1
4124,2023-01-27,2.33,2200,0,1
5212,2022-12-12,2.67,2200,0,1
5215,2023-01-14,2.67,2400,0,1
5214,2022-12-12,2,2200,0,1
5215,2022-12-12,2.67,2200,0,1
1242,2023-02-08,2.67,1800,0,1
4221,2023-01-27,2.33,2200,0,1
3112,2022-12-16,2,2000,0,1
3113,2022-12-16,2,2000,0,1
1223,2023-01-23,2.33,1800,0,1
2123,2022-12-28,2,2000,0,1
5233,2022-12-12,2.67,2200,0,1
5112,2023-02-04,3.67,2000,0,1
7111,2023-01-16,2.67,2200,0,1
3222,2022-12-16,2,2000,0,1
2133,2022-12-25,2,2200,0,1
3223,2022-12-16,2,2000,0,1
4244,2023-01-27,2.33,2200,0,1
3223,2023-05-19,2,2400,0,1
2223,2022-12-25,3,2200,0,1
2224,2022-12-25,3,2200,0,1
1241,2023-02-09,2.33,1800,0,1
4231,2023-05-01,3.33,NA,0,1
5221,2022-12-13,2,2200,0,1
5222,2022-12-13,2,2200,0,1
4243,2023-02-05,3,1800,0,1
3222,2022-12-25,3,2200,0,1
7231,2023-01-16,2.67,2200,0,1
5233,2022-12-13,2.67,2200,0,1
4223,2023-01-20,2.67,2200,0,1
4116,2023-01-10,3.67,2200,0,1
1246,2022-12-10,2.33,1800,0,1
4114,2022-12-25,3,2200,0,1
4115,2022-12-25,3,2200,0,1
5221,2023-02-13,2.33,2000,0,1
4122,2022-12-25,3,2200,0,1
1311,2023-01-15,3.33,2000,0,1
5112,2023-01-20,2.67,2200,0,1
5232,2023-02-13,2,2400,0,1
1121,2023-01-17,3,1800,0,1
1122,2023-01-17,3,1800,0,1
1225,2023-01-25,2,2000,0,1
1226,2023-01-25,2,2000,0,1
1227,2023-01-25,2,2000,0,1
4123,2023-01-13,3,2200,0,1
4215,2023-01-11,3,2000,0,1
1312,2023-05-10,3,2800,0,1
2122,2023-05-10,3,2800,0,1
1311,2022-12-11,3,2000,0,1
4223,2022-12-25,3,2200,0,1
4224,2022-12-25,3,2200,0,1
2221,2023-05-10,3,2800,0,1
7111,2023-02-13,2,2400,0,1
4241,2022-12-27,3,2200,0,1
1246,2023-01-25,2,2000,0,1
4116,2023-01-14,2.67,2200,0,1
1311,2023-01-25,2,1800,0,1
5211,2023-02-07,2.67,1800,0,1
1213,2023-02-04,2,2000,0,1
4225,2023-04-26,2,2400,0,1
5113,2022-12-24,3,2200,0,1
5212,2022-12-28,3,2400,0,1
7126,2023-02-13,2,2400,0,1
4244,2023-01-22,2.67,2400,0,1
4112,2023-01-15,3.33,2000,0,1
5211,2022-12-25,3,2200,0,1
1311,2023-02-03,2,2000,0,1
2111,2023-02-03,2,2000,0,1
5113,2023-02-16,2.33,2000,0,1
7113,2023-01-20,2.67,2200,0,1
1247,2023-01-26,2,2000,0,1
5231,2022-12-26,3,2400,0,1
4242,2023-05-11,2.67,2600,0,1
5233,2023-02-07,2.33,2000,0,1
4125,2023-01-15,2.67,2200,0,1
5122,2023-02-08,3,2000,0,1
6112,2022-12-31,2.33,2000,0,1
5124,2023-02-08,2.67,1800,0,1
4124,2023-01-24,2.33,2000,0,1
1312,2023-04-02,3.33,2200,0,1
1224,2022-12-15,2.33,2000,0,1
2121,2023-02-04,2,2000,0,1
4244,2023-02-09,2.33,2200,0,1
7211,2023-01-09,3,2000,0,1
4215,2023-01-24,2,2000,0,1
7222,2023-01-09,3,2000,0,1
3311,2023-02-11,2.67,2200,0,1
6113,2023-05-14,2,2600,0,1
3111,2023-01-26,2,2200,0,1
7112,2023-05-16,2.67,3000,0,1
7114,2023-01-12,2.67,2400,0,1
7113,2023-05-16,2,2600,0,1
1222,2023-02-06,2,2000,0,1
7122,2022-12-28,3,2400,0,1
7123,2022-12-28,3,2400,0,1
4223,2022-12-11,2,2200,0,1
3223,2023-01-26,2,2200,0,1
7123,2023-05-16,2,2600,0,1
7124,2023-05-16,2,2600,0,1
4111,2023-01-26,2,2000,0,1
7211,2023-05-16,2.67,3000,0,1
4213,2023-02-11,2.33,2200,0,1
2133,2022-12-14,2.33,1800,0,1
4215,2023-02-11,2.33,2200,0,1
4115,2023-01-26,2.33,2200,0,1
4113,2022-12-13,3.33,2000,0,1
5232,2022-12-19,2.33,2200,0,1
4122,2023-01-26,2.33,2200,0,1
4124,2023-04-01,3.33,2000,0,1
5234,2023-01-15,2.67,2400,0,1
4211,2023-04-01,3.33,2000,0,1
1234,2023-01-10,3.33,2000,0,1
4123,2023-01-18,2.67,2200,0,1
2122,2023-02-06,2.67,1800,0,1
3224,2022-12-14,2.33,1800,0,1
3311,2022-12-14,2.33,1800,0,1
1225,2023-05-15,2,2600,0,1
4214,2022-12-13,2,2200,0,1
2123,2022-12-16,2,2000,0,1
4231,2023-01-26,2.33,2200,0,1
1241,2022-12-17,2,2000,0,1
7125,2023-01-23,2.67,2400,0,1
7124,2023-02-09,3,2000,0,1
4241,2023-02-12,2.33,2200,0,1
4242,2023-02-12,2.33,2200,0,1
1234,2023-05-15,2,2600,0,1
5111,2023-02-12,2.33,2000,0,1
7112,2023-01-24,2.67,2400,0,1
4222,2023-01-27,2.33,2200,0,1
2121,2022-12-28,2,2000,0,1
4243,2022-12-13,2.67,2200,0,1
4223,2023-01-27,2.33,2200,0,1
5122,2023-02-12,2.33,2000,0,1
4221,2023-01-19,2.67,2200,0,1
2222,2023-01-10,3.33,2000,0,1
5122,2023-01-18,2.67,2200,0,1
2224,2023-01-10,3,2000,0,1
5221,2023-01-26,2.33,2200,0,1
7125,2023-02-10,2.33,2200,0,1
1311,2022-12-24,4,2200,0,1
1312,2022-12-24,4,2200,0,1
2223,2022-12-27,3,2200,0,1
2224,2022-12-27,3,2400,0,1
3111,2022-12-27,2,2000,0,1
5234,2023-01-26,2.33,2200,0,1
6111,2023-01-26,2.33,2200,0,1
6112,2023-01-26,2.33,2200,0,1
6113,2023-01-26,2.33,2200,0,1
1224,2022-12-23,3.33,2200,0,1
4111,2023-01-10,3.67,2200,0,1
1226,2022-12-23,3.33,2200,0,1
3222,2022-12-17,2,2000,0,1
4116,2023-01-21,2.67,2200,0,1
1233,2022-12-23,3.33,2200,0,1
4122,2023-01-21,2.67,2200,0,1
7125,2023-02-11,2.33,2200,0,1
6121,2023-05-20,2.33,NA,0,1
1246,2023-02-01,2,2200,0,1
4121,2023-05-17,2.67,3000,0,1
7114,2023-01-26,2.33,2200,0,1
7115,2023-01-26,2.33,2200,0,1
4125,2023-05-17,2.67,3000,0,1
4212,2022-12-25,3,2200,0,1
4212,2023-05-17,2.67,3000,0,1
4213,2023-05-17,3.33,2400,0,1
1228,2023-01-25,2,2000,0,1
4215,2023-05-17,2.67,3000,0,1
2134,2022-12-23,3.33,2200,0,1
7221,2023-01-26,2.33,2200,0,1
7222,2023-01-26,2.33,2200,0,1
6114,2023-04-13,2.33,2400,0,1
4232,2023-01-10,3,2000,0,1
6114,2023-05-01,3.33,NA,0,1
2133,2023-01-24,2.33,1800,0,1
4242,2022-12-26,3,2400,0,1
7113,2023-02-13,2.33,2000,0,1
5111,2022-12-25,3,2200,0,1
4224,2023-01-13,2.67,2400,0,1
5123,2023-02-07,3,2000,0,1
5121,2022-12-27,3,2400,0,1
5122,2022-12-27,3,2400,0,1
7124,2023-02-13,2.33,2000,0,1
5124,2023-02-07,2.67,1800,0,1
5214,2023-01-10,3,2000,0,1
4111,2023-01-15,3.33,2000,0,1
5215,2023-01-10,3,2000,0,1
1227,2023-02-04,2,2000,0,1
5231,2023-01-10,3,2000,0,1
5215,2023-05-17,3,2600,0,1
5216,2023-05-17,3,2600,0,1
5221,2023-05-17,3,2600,0,1
1232,2023-02-04,2,2000,0,1
1212,2022-12-14,2.33,1800,0,1
4213,2023-05-10,3,2800,0,1
4114,2023-01-24,2,2000,0,1
4223,2022-12-23,3,2200,0,1
6112,2023-01-10,3,2000,0,1
4225,2022-12-23,3,2200,0,1
1244,2023-02-04,2,2000,0,1
6132,2023-04-21,2,1800,0,1
4242,2023-01-23,2.67,2400,0,1
2111,2023-04-02,3,2000,0,1
2134,2023-01-26,2,2200,0,1
4225,2023-01-15,2.67,2400,0,1
7111,2023-01-10,3,2000,0,1
6212,2023-02-07,2.33,2000,0,1
5113,2022-12-23,3,2200,0,1
1232,2023-04-14,3.33,2200,0,1
2123,2023-02-04,2,2000,0,1
7113,2023-01-10,3,2000,0,1
5124,2022-12-23,3,2200,0,1
5211,2022-12-23,3,2200,0,1
4231,2023-01-24,2.33,2000,0,1
4232,2023-01-24,2.33,2000,0,1
7123,2023-01-10,3,2000,0,1
7124,2023-01-10,3,2000,0,1
7125,2023-01-10,3,2000,0,1
7126,2023-01-10,3,2000,0,1
7221,2023-01-10,3,2000,0,1
7221,2023-05-17,3,2600,0,1
7115,2023-05-14,2,2600,0,1
5121,2023-01-24,2,2000,0,1
4111,2023-05-02,3.33,NA,0,1
1111,2022-12-30,2,2000,0,1
7126,2023-01-13,2.67,2400,0,1
5111,2023-01-16,2.67,2200,0,1
4111,2023-01-18,3.67,2200,0,1
4111,2023-04-02,3.33,2200,0,1
2133,2022-12-15,2.33,2000,0,1
1221,2022-12-30,2,2000,0,1
5221,2023-01-24,2.33,2000,0,1
2222,2023-04-14,3.33,2200,0,1
1223,2023-01-11,3,2000,0,1
4232,2022-12-12,2.67,2000,0,1
4212,2023-05-02,3.33,NA,0,1
6115,2023-04-23,3,NA,0,1
4113,2023-01-27,2.33,2200,0,1
4212,2023-01-18,2.67,2200,0,1
1232,2023-01-11,3,2000,0,1
4112,2022-12-14,3,2200,0,1
7122,2022-12-23,3,2200,0,1
1226,2023-05-15,2,2600,0,1
4114,2023-01-19,3.33,2000,0,1
4241,2023-01-26,2,2000,0,1
5122,2023-02-03,2.33,2200,0,1
5123,2023-02-03,2.33,2200,0,1
4242,2023-05-02,3.33,NA,0,1
1114,2022-12-24,4,2200,0,1
7111,2023-01-24,2.67,2400,0,1
1241,2023-02-08,2.67,1800,0,1
2124,2023-02-07,3,1800,0,1
5123,2023-01-26,2.33,2200,0,1
6112,2023-01-25,2.33,2200,0,1
7113,2023-02-10,2.67,2200,0,1
4241,2023-02-04,2,2000,0,1
2132,2022-12-30,2,2000,0,1
4231,2023-01-27,2.33,2200,0,1
4232,2023-01-27,2.33,2200,0,1
4213,2023-04-14,3.33,2200,0,1
2212,2022-12-30,2.33,2000,0,1
2222,2022-12-31,2.33,2000,0,1
2223,2022-12-31,2.33,2000,0,1
2121,2023-02-08,2.67,1800,0,1
2122,2023-02-08,2.67,1800,0,1
3111,2022-12-28,2,2000,0,1
3222,2023-05-18,3,2400,0,1
5122,2023-01-27,2.33,2200,0,1
5123,2023-01-27,2.33,2200,0,1
4241,2023-04-14,3.33,2200,0,1
5233,2023-02-12,2.33,2200,0,1
5234,2023-02-12,2.33,2200,0,1
3311,2022-12-30,2.33,2000,0,1
2224,2022-12-24,3.33,2200,0,1
5221,2023-01-27,2.33,2200,0,1
6111,2023-04-02,3,2000,0,1
5222,2023-01-27,2.33,2200,0,1
6211,2023-05-02,3,1800,0,1
5231,2023-01-27,2.33,2200,0,1
5232,2023-01-27,2.33,2200,0,1
1224,2023-02-02,2,2200,0,1
4116,2023-01-11,3,2000,0,1
6111,2023-01-27,2.33,2200,0,1
6112,2023-01-27,2.33,2200,0,1
4211,2023-05-17,3,2600,0,1
5233,2023-01-19,2.67,2200,0,1
5234,2023-01-19,2.67,2200,0,1
4214,2023-05-17,3,2600,0,1
7122,2023-02-12,2.33,2000,0,1
7123,2023-02-12,2.33,2000,0,1
7124,2023-02-12,2.33,2000,0,1
6211,2023-01-27,2.33,2200,0,1
6212,2023-01-27,2.33,2200,0,1
4222,2023-01-11,3,2000,0,1
7112,2023-01-27,2.33,2200,0,1
7113,2023-01-27,2.33,2200,0,1
7114,2023-01-27,2.33,2200,0,1
4232,2023-01-11,2.67,2200,0,1
4232,2022-12-24,3.33,2200,0,1
5113,2023-05-18,2.33,2400,0,1
5112,2023-02-07,3,2000,0,1
4223,2023-04-26,2,2400,0,1
5113,2022-12-25,3,2200,0,1
4242,2023-01-13,3,2200,0,1
4224,2023-04-26,2,2400,0,1
1233,2023-03-31,2.67,NA,0,1
4221,2023-05-12,2.33,2400,0,1
1242,2023-03-31,2.67,NA,0,1
5123,2022-12-24,3,2200,0,1
5124,2022-12-24,3.33,2200,0,1
5211,2022-12-24,3.33,2200,0,1
5113,2023-01-22,2.67,2200,0,1
1246,2023-03-31,2.67,NA,0,1
1247,2023-03-31,2.67,NA,0,1
4214,2022-12-23,3.33,2200,0,1
5233,2023-01-10,3,2000,0,1
4242,2023-01-14,2.67,2200,0,1
2224,2023-01-25,2.33,2200,0,1
2123,2023-03-31,2.67,NA,0,1
6114,2023-05-18,2.33,2400,0,1
5234,2023-01-11,2.67,2200,0,1
4232,2022-12-23,3,2200,0,1
6113,2023-05-17,3,2600,0,1
4114,2022-12-11,3,2000,0,1
4212,2023-01-24,2.33,2000,0,1
4242,2023-02-09,2.33,2200,0,1
2211,2023-01-26,2,2200,0,1
5113,2023-01-23,2.67,2400,0,1
1121,2023-01-09,3,2000,0,1
4113,2023-01-25,2.33,2200,0,1
3111,2023-03-31,2.67,NA,0,1
5223,2022-12-18,2.33,2200,0,1
3114,2023-03-31,2.67,NA,0,1
4121,2023-01-25,2,2000,0,1
4116,2023-01-25,2.33,2200,0,1
4111,2023-01-17,3.33,1800,0,1
4112,2023-01-17,3.33,1800,0,1
7221,2023-05-18,2.33,2400,0,1
7121,2022-12-24,3,2200,0,1
4211,2023-01-25,2,2000,0,1
7123,2022-12-24,3,2200,0,1
1113,2023-05-19,2,2400,0,1
1241,2023-01-20,2,1600,0,1
1121,2023-05-19,2,2400,0,1
2122,2023-02-05,3,1800,0,1
2123,2023-02-05,2,2000,0,1
2124,2023-02-05,3,1800,0,1
4212,2023-01-17,2.67,2200,0,1
5212,2023-01-24,2.33,2000,0,1
4231,2023-01-25,2.33,2200,0,1
4221,2023-01-17,2.67,2200,0,1
4241,2023-01-25,2,2000,0,1
4242,2023-01-25,2.33,2200,0,1
1245,2022-12-16,2,2000,0,1
1246,2022-12-16,2,2000,0,1
1233,2023-05-19,2.33,2400,0,1
1234,2023-05-19,2.33,2400,0,1
1311,2022-12-16,2,2000,0,1
4125,2022-12-13,2,2200,0,1
7112,2023-02-09,2.33,2200,0,1
4224,2023-01-26,2.33,2200,0,1
4221,2023-05-02,3.33,NA,0,1
5111,2023-01-17,2.67,2200,0,1
1247,2023-05-19,2.33,2400,0,1
4221,2022-12-13,2,2200,0,1
7111,2023-02-01,2.33,2200,0,1
3311,2023-04-14,3.33,2200,0,1
4223,2023-04-02,3.33,2200,0,1
4224,2022-12-13,2,2200,0,1
4222,2023-04-02,3.33,2200,0,1
2132,2023-05-19,2,2400,0,1
2111,2022-12-30,2,2000,0,1
1312,2022-12-25,3,2200,0,1
4244,2023-02-12,2.33,2200,0,1
1312,2023-01-11,3,2000,0,1
2132,2023-02-07,2.67,1800,0,1
4115,2023-01-28,2,2200,0,1
4211,2023-02-05,2,2000,0,1
3114,2022-12-16,2,2000,0,1
5233,2023-01-17,2.67,2200,0,1
5234,2023-01-17,2.67,2200,0,1
7123,2023-02-10,2.67,2200,0,1
2221,2022-12-30,2.33,2000,0,1
2222,2022-12-30,2.33,2000,0,1
3111,2023-02-07,2.67,1800,0,1
5216,2023-02-12,2.33,2200,0,1
5221,2023-01-18,2.67,2200,0,1
4244,2023-02-13,2,2400,0,1
2224,2023-01-12,2.67,2400,0,1
5112,2023-02-13,2.33,2000,0,1
5113,2023-02-13,2.33,2000,0,1
5231,2022-12-13,2,2200,0,1
4221,2023-01-20,2.67,2200,0,1
4231,2023-01-28,2,2200,0,1
4222,2023-01-20,2.67,2200,0,1
4112,2022-12-25,3,2200,0,1
4113,2022-12-25,3,2200,0,1
4231,2023-01-20,2.67,2200,0,1
5216,2023-02-13,2,2400,0,1
5111,2023-01-28,2,2200,0,1
4116,2022-12-25,3,2200,0,1
4242,2023-01-20,2.67,2200,0,1
5231,2023-02-13,2.33,2000,0,1
4123,2022-12-28,3,2400,0,1
5113,2023-01-20,2.67,2200,0,1
6113,2023-01-27,2.33,2200,0,1
5223,2023-02-05,2.33,2200,0,1
5123,2023-01-20,2.67,2200,0,1
7121,2023-02-12,2.33,2000,0,1
4215,2022-12-25,3,2200,0,1
4221,2022-12-25,3,2200,0,1
1246,2022-12-11,2.33,1800,0,1
1247,2022-12-11,2.67,2200,0,1
5223,2023-01-28,2,2200,0,1
4222,2023-01-12,3,2200,0,1
2111,2022-12-11,2.33,1800,0,1
2112,2022-12-11,2.33,1800,0,1
4232,2022-12-28,3,2400,0,1
7112,2023-02-13,2,2400,0,1
6112,2023-01-28,2,2200,0,1
4243,2022-12-25,3,2200,0,1
5121,2023-05-18,2.33,2400,0,1
5122,2023-05-18,2.33,2400,0,1
5233,2023-02-06,2.33,2000,0,1
5121,2023-02-07,2.67,1800,0,1
5122,2023-02-07,3,2000,0,1
7125,2023-02-13,2,2400,0,1
5124,2022-12-28,3,2400,0,1
7122,2023-02-05,3.33,1800,0,1
5124,2022-12-25,3,2200,0,1
4125,2023-01-23,2.67,2400,0,1
5232,2023-05-19,2,2400,0,1
7231,2023-02-13,2,2400,0,1
5234,2023-05-19,2,2400,0,1
3112,2022-12-11,2,2200,0,1
4125,2023-05-10,2.33,2400,0,1
4211,2023-05-10,3,2800,0,1
5222,2023-01-12,2.67,2400,0,1
5223,2023-01-12,2.67,2400,0,1
7111,2023-01-09,3,2000,0,1
7123,2023-01-20,2.67,2200,0,1
7124,2023-01-20,2.67,2200,0,1
2211,2023-02-03,2,2000,0,1
5112,2023-01-31,2.33,2200,0,1
4242,2022-12-23,3,2200,0,1
2133,2023-01-26,2,2200,0,1
4223,2023-01-15,2.67,2400,0,1
5111,2022-12-23,3,2200,0,1
4243,2023-02-09,2.33,1800,0,1
6114,2023-05-16,2,2600,0,1
2222,2023-01-26,2,2200,0,1
2221,2023-01-26,2,2200,0,1
2224,2023-01-26,2.33,2200,0,1
6212,2023-05-16,2,2600,0,1
7111,2023-05-16,2.67,3000,0,1
4213,2022-12-11,2,2200,0,1
1226,2023-04-16,3,2200,0,1
3112,2023-04-01,3,2000,0,1
7121,2022-12-28,3,2400,0,1
2112,2022-12-14,2.33,1800,0,1
7122,2023-05-16,2,2600,0,1
5231,2023-01-23,2.67,2400,0,1
7125,2023-01-12,2.67,2400,0,1
7126,2023-01-12,2.67,2400,0,1
7211,2023-01-12,2.67,2400,0,1
1213,2023-01-21,2.33,1800,0,1
1234,2023-02-06,2,2000,0,1
1241,2023-02-06,2,2000,0,1
6122,2023-04-25,2.33,2400,0,1
1243,2023-02-06,2,2000,0,1
1112,2022-12-26,2,2200,0,1
1224,2023-01-10,3.33,2000,0,1
1114,2022-12-26,2.67,2400,0,1
5121,2022-12-11,2,2200,0,1
4125,2023-01-26,2.33,2200,0,1
4211,2023-01-26,2,2000,0,1
4122,2023-01-18,2.67,2200,0,1
4213,2023-01-26,2,2000,0,1
4214,2023-01-26,2,2000,0,1
1242,2023-01-10,3.33,2000,0,1
3223,2022-12-14,2.33,1800,0,1
7111,2023-04-23,3,NA,0,1
4223,2023-01-26,2.33,2200,0,1
1246,2023-01-10,3.33,2000,0,1
5122,2023-02-11,2.67,2200,0,1
4225,2023-01-26,2.33,2200,0,1
4232,2023-01-26,2.33,2200,0,1
1242,2022-12-17,2,2000,0,1
2211,2022-12-16,2,2000,0,1
4243,2023-01-26,2,2000,0,1
4244,2023-01-26,2.33,2200,0,1
2123,2023-01-10,3.33,2000,0,1
2121,2023-02-07,3,1800,0,1
4244,2023-01-18,2.67,2200,0,1
7211,2022-12-10,3,2000,0,1
3222,2023-01-20,2,1600,0,1
2111,2022-12-25,2,2200,0,1
2211,2023-01-10,3.33,2000,0,1
2221,2023-01-10,3.33,2000,0,1
5214,2023-01-26,2.33,2200,0,1
5223,2023-02-03,2.33,2200,0,1
5123,2023-01-18,2.67,2200,0,1
5216,2023-01-26,2.33,2200,0,1
2211,2022-12-25,3,2200,0,1
4125,2023-01-28,2,2200,0,1
4121,2023-01-20,2.67,2000,0,1
3222,2023-05-19,2,2400,0,1
5113,2023-01-27,2.33,2200,0,1
3223,2023-01-21,2.33,1800,0,1
2224,2022-12-26,3,2400,0,1
3222,2023-01-21,2.33,1800,0,1
4213,2023-04-16,3.33,2000,0,1
4115,2023-01-29,1.67,2400,0,1
4116,2023-01-29,1.67,2400,0,1
2224,2023-01-13,2.67,2400,0,1
4122,2023-01-29,1.67,2400,0,1
7112,2023-02-03,2.33,2200,0,1
1231,2022-12-23,3.33,2200,0,1
4113,2022-12-26,2.67,2400,0,1
2111,2023-02-09,2.33,1800,0,1
4212,2023-01-29,1.67,2400,0,1
3112,2023-05-14,2,2600,0,1
1244,2023-02-01,2,2200,0,1
3114,2023-05-14,2,2600,0,1
1311,2023-02-01,2,2200,0,1
4212,2023-01-21,2.67,2200,0,1
4241,2023-02-06,2,2000,0,1
4223,2023-01-29,1.67,2400,0,1
2224,2023-05-11,2.67,2600,0,1
4211,2022-12-26,2.67,2400,0,1
5111,2023-02-06,3,1800,0,1
4232,2023-01-29,1.67,2400,0,1
4113,2023-04-26,2,2400,0,1
4215,2022-12-26,2.67,2400,0,1
4115,2023-04-26,2,2400,0,1
5123,2023-02-06,3,1800,0,1
4212,2023-01-13,3,2200,0,1
4242,2023-01-21,2.67,2200,0,1
4243,2023-01-21,2.33,1800,0,1
4241,2022-12-26,2.67,2400,0,1
4212,2023-04-26,2,2400,0,1
4223,2023-01-13,3,2200,0,1
5112,2023-01-10,3,2000,0,1
4232,2023-01-13,2.67,2400,0,1
5113,2023-02-07,3,2000,0,1
5121,2022-12-28,3,2400,0,1
5112,2022-12-25,3,2200,0,1
5124,2023-01-10,3.33,2000,0,1
4244,2023-01-13,3,2200,0,1
1223,2023-02-04,2,2000,0,1
5121,2022-12-17,2,2000,0,1
1226,2023-02-04,2,2000,0,1
1228,2023-02-04,2,2000,0,1
5113,2023-01-13,3,2200,0,1
5215,2022-12-26,3,2400,0,1
5122,2023-01-13,3,2200,0,1
4225,2023-05-11,2.67,2600,0,1
5123,2023-01-13,3,2200,0,1
6114,2023-01-29,1.67,2400,0,1
5232,2023-05-17,3,2600,0,1
7112,2023-02-06,2.33,2000,0,1
5123,2023-04-26,2.33,2400,0,1
4244,2023-05-11,2.67,2600,0,1
6111,2022-12-26,3,2400,0,1
6112,2022-12-26,3,2400,0,1
2124,2023-01-26,2,2200,0,1
6115,2023-05-17,2,2600,0,1
6121,2023-05-17,2,2600,0,1
6112,2023-05-16,2,2600,0,1
5112,2023-01-23,2.67,2400,0,1
6211,2023-01-10,3,2000,0,1
7222,2023-02-06,2.33,2000,0,1
5232,2023-04-26,2.33,2400,0,1
5233,2023-04-26,2,2400,0,1
5234,2023-04-26,2.33,2400,0,1
7121,2023-01-21,2.67,2200,0,1
7122,2023-01-21,2.67,2200,0,1
1243,2023-04-14,3.33,2200,0,1
7123,2023-05-17,2.67,3000,0,1
6115,2023-04-26,2,2400,0,1
7121,2022-12-26,3,2400,0,1
7111,2023-01-13,2.67,2400,0,1
7113,2023-01-13,3,2200,0,1
7114,2023-01-13,2.67,2400,0,1
7111,2023-04-26,2,2400,0,1
7121,2023-01-13,3,2200,0,1
5122,2023-04-23,3,NA,0,1
4124,2022-12-12,2,2200,0,1
1114,2023-05-18,2.33,2400,0,1
5124,2023-01-24,2,2000,0,1
5211,2023-01-24,2,2000,0,1
7211,2023-01-13,2.67,2400,0,1
1121,2022-12-30,2,2000,0,1
1213,2022-12-30,2,2000,0,1
5231,2023-04-23,3,NA,0,1
2134,2022-12-15,2.33,2000,0,1
5222,2023-01-24,2.33,2000,0,1
1113,2023-05-15,2,2600,0,1
6113,2023-04-23,3,NA,0,1
6122,2023-04-23,3,NA,0,1
1213,2023-05-15,2,2600,0,1
5234,2023-01-24,2.33,2000,0,1
5112,2023-02-11,2.67,2200,0,1
1223,2023-05-15,2,2600,0,1
7121,2022-12-23,3,2200,0,1
1243,2023-02-07,3,1800,0,1
4111,2023-01-19,3.33,2000,0,1
1227,2023-05-15,2,2600,0,1
4123,2023-01-27,2.33,2200,0,1
4222,2023-01-18,2.67,2200,0,1
1312,2023-05-18,2.33,2400,0,1
4212,2023-01-27,2.33,2200,0,1
1247,2023-05-18,2.67,3000,0,1
4241,2023-05-02,3.33,NA,0,1
1223,2022-12-24,4,2200,0,1
5122,2023-01-26,2.33,2200,0,1
4242,2023-01-18,2.67,2200,0,1
1113,2022-12-10,3,2000,0,1
1114,2022-12-10,3,2000,0,1
1121,2022-12-10,2.33,1800,0,1
4224,2023-01-27,2.33,2200,0,1
2124,2022-12-27,2,2000,0,1
2132,2022-12-27,2,2000,0,1
1213,2022-12-10,2.33,1800,0,1
